	FT01DA	FT02DA	FT04DA	FT01nDA	FT02nDA	FT04nDA
Gm11578|Gm11578	0	0	8	0	0	0
Gm38388|Gm38388	0	226	0	21	13	0
Nrp2|Nrp2	5034	3189	5892	5871	3122	7393
Gm29083|Gm29083	20	90	192	198	241	308
4930487H11Rik|4930487H11Rik	182	83	90	77	59	69
Abi2|Abi2	9793	5404	7895	4925	6007	6714
Raph1|Raph1	4626	4408	5461	3121	4098	2590
LOC102637269|LOC102637269	350	207	156	109	131	85
Pard3b|Pard3b	321	481	849	613	574	479
Pard3bos1|Pard3bos1	0	70	237	242	245	129
Pard3bos2|Pard3bos2	0	97	45	38	14	0
Gm34881|Gm34881	0	0	14	67	49	11
Gpr1|Gpr1	595	0	388	120	186	173
Zdbf2|Zdbf2	4247	3078	3692	1674	1717	1620
1700039I01Rik|1700039I01Rik	0	0	0	70	10	20
Gm11608|Gm11608	0	0	0	2	0	11
Ino80d|Ino80d	3274	1576	3020	2897	4136	3316
Ndufs1|Ndufs1	5337	2075	2158	3173	4333	3036
Ino80dos|Ino80dos	498	942	324	403	982	488
Eef1b2|Eef1b2	5130	1497	3314	1602	2072	1583
Snora41|Snora41	41	19	0	20	25	28
Adam23|Adam23	15051	8910	10009	6564	6978	7623
Fastkd2|Fastkd2	1459	1134	404	1362	2135	1199
Klf7|Klf7	3225	2692	2960	3755	8072	3317
Gm35880|Gm35880	15	0	5	8	0	0
Mir6899|Mir6899	3	0	6	0	4	3
2810408I11Rik|2810408I11Rik	35	0	58	0	0	0
Mettl21a|Mettl21a	2797	2442	1192	2063	2322	1912
Ccnyl1|Ccnyl1	332	0	33	514	708	354
Creb1|Creb1	4256	3202	2306	2143	3165	2967
D630023F18Rik|D630023F18Rik	98	66	243	194	225	127
Gm36358|Gm36358	111	44	38	134	119	108
Plekhm3|Plekhm3	4319	4030	5070	5788	3651	4535
Idh1|Idh1	1630	1002	1027	1419	1807	869
Pikfyve|Pikfyve	425	1379	696	1512	2526	1892
Map2|Map2	18607	10657	17638	13679	15694	14578
Unc80|Unc80	14373	12284	10683	13513	17211	13219
Gm39655|Gm39655	13	0	0	0	0	8
Rpe|Rpe	1758	251	1602	1127	1107	1049
Kansl1l|Kansl1l	3991	3136	2278	3319	4164	3629
Myl1|Myl1	0	0	0	21	8	22
LOC108167626|LOC108167626	1461	2759	2441	2105	3131	2755
Gm39656|Gm39656	1346	503	488	990	1451	972
Acadl|Acadl	334	33	491	750	834	823
Gm39658|Gm39658	0	0	0	0	0	0
Cps1|Cps1	0	0	479	18	0	0
Lancl1|Lancl1	9155	4205	6208	6690	5550	5612
Ikzf2|Ikzf2	877	167	1662	1942	2707	1809
Spag16|Spag16	650	933	77	132	88	89
Erbb4|Erbb4	11613	9549	11809	4368	3903	4483
Bard1|Bard1	216	0	38	55	43	25
Vwc2l|Vwc2l	2612	1313	4532	1306	1116	1073
Gm29906|Gm29906	92	226	260	166	160	132
Atic|Atic	1734	1179	950	469	520	502
LOC108167627|LOC108167627	0	0	0	0	9	0
Gm4319|Gm4319	0	0	0	0	0	0
Mreg|Mreg	620	83	495	238	211	100
Fn1|Fn1	0	396	440	1164	1659	2129
D230017M19Rik|D230017M19Rik	203	113	232	398	427	443
Pecr|Pecr	305	41	19	193	303	226
Tmem169|Tmem169	1952	1203	1370	966	964	1343
Gm39661|Gm39661	441	0	0	22	30	0
Xrcc5|Xrcc5	2200	179	1205	1028	1174	967
Gm39663|Gm39663	0	0	0	0	0	0
Rpl37a|Rpl37a	2567	762	1119	535	1077	532
Gm30788|Gm30788	0	0	0	0	9	10
Gm30847|Gm30847	0	0	0	9	19	13
Smarcal1|Smarcal1	2027	1344	1707	1461	1111	1107
March4|March4	1228	1126	1592	769	284	787
Igfbp2|Igfbp2	5417	1979	2735	2360	4465	2965
Gm31047|Gm31047	0	76	283	50	57	63
Igfbp5|Igfbp5	5461	1968	3903	3815	3189	5676
Arpc2|Arpc2	6684	3164	5181	3542	2822	3191
Ctdsp1|Ctdsp1	414	338	846	1285	566	1035
Mir26b|Mir26b	2	2	5	6	4	5
Aamp|Aamp	4497	2743	4235	3118	3005	2683
Pnkd|Pnkd	8379	5831	8766	10350	4575	7651
Gpbar1|Gpbar1	0	0	0	58	14	43
LOC108167628|LOC108167628	0	21	0	28	24	31
Tmbim1|Tmbim1	785	636	1602	8306	7801	8469
Stk36|Stk36	292	348	360	774	409	543
Ttll4|Ttll4	937	1112	288	1285	1551	1710
Gm32099|Gm32099	0	0	0	0	0	0
Wnt10a|Wnt10a	206	0	0	84	24	64
Cyp27a1|Cyp27a1	637	0	251	4067	4110	3230
Gm32275|Gm32275	167	0	0	44	109	88
Gm16582|Gm16582	0	0	0	0	0	0
Cdk5r2|Cdk5r2	1071	822	627	339	119	486
Ccdc108|Ccdc108	0	0	6	364	187	288
Usp37|Usp37	5406	2546	5362	4067	6072	4555
Plcd4|Plcd4	2408	1512	451	3219	3609	1704
Zfp142|Zfp142	792	175	656	1220	901	1198
