gene_id,CRV01DA,CRV02DA,CRV03DA,CRV04DA,FT01DA,FT01nDA,FT02DA,FT02nDA,FT03DA,FT03nDA,FT04DA,FT04nDA,MN01DA,MN02DA,MN03DA
Galk2|Galk2,772,945,917,990,1772,680,77,628,1032,522,590,826,1596,280,457
Fam227b|Fam227b,0,10,0,0,40,20,0,29,0,11,0,11,0,0,2
Dtwd1|Dtwd1,490,1051,673,506,1293,531,278,673,330,417,400,474,843,536,121
Fgf7|Fgf7,73,12,82,89,0,98,26,134,0,128,12,77,0,8,205
Slc27a2|Slc27a2,3373,4039,7026,2678,5570,2047,2930,1922,923,1189,3981,2436,7794,627,3710
Gabpb1|Gabpb1,1421,2676,1560,1423,1384,1413,835,2126,467,1380,1152,1953,803,1784,1460
Gm27003|Gm27003,196,652,346,329,195,427,59,483,155,450,169,391,487,542,309
Usp50|Usp50,65,7,80,58,0,71,0,73,0,59,154,58,0,0,26
Usp8|Usp8,2793,3410,3289,3447,4180,2519,1288,3286,2860,2283,2016,2411,4057,2720,3838
Trpm7|Trpm7,9712,8673,7010,9106,7183,8332,4942,8454,5505,7366,6440,8399,10463,5984,6135
Sppl2a|Sppl2a,3838,4995,3121,3062,5908,2913,2967,3694,1833,2757,3298,3280,2664,2289,2859
Mir3473g|Mir3473g,15,0,0,0,0,1,0,9,0,1,0,0,0,0,0
Ap4e1|Ap4e1,1603,1562,2219,1583,928,1885,704,2961,530,2023,1234,1944,1304,1577,2003
Blvra|Blvra,348,758,799,602,863,695,768,990,79,609,599,552,705,324,792
Gm35347|Gm35347,0,0,0,23,0,6,0,0,0,0,0,10,0,0,0
Itpripl1|Itpripl1,108,572,296,313,632,488,10,1356,258,539,312,786,602,877,130
1810024B03Rik|1810024B03Rik,151,6,13,23,0,0,0,34,0,10,0,30,24,16,33
Snrnp200|Snrnp200,1071,1496,1481,1389,1200,1429,318,1358,30,1334,1047,1722,1431,688,431
Ciao1|Ciao1,1642,2297,1703,1532,3079,1347,383,1876,735,1215,2014,1177,1746,1515,1348
Tmem127|Tmem127,4969,9272,10133,4989,11389,6125,4667,4284,1719,5479,8925,7368,5832,2401,2841
Stard7|Stard7,2943,4618,4163,1465,3007,3212,1532,2925,1063,2331,1290,2956,4400,1545,1403
Gpat2|Gpat2,16,35,94,33,301,156,67,117,0,269,0,80,113,0,0
Gm39924|Gm39924,0,0,17,0,0,7,0,9,0,0,0,0,92,0,0
Fahd2a|Fahd2a,942,756,1367,1160,1173,978,809,923,581,581,558,489,2569,1773,910
Kcnip3|Kcnip3,1017,1401,1343,837,1242,1950,460,1431,505,1850,1979,1830,769,1170,746
Gm35478|Gm35478,0,0,0,0,0,10,0,20,0,0,0,0,0,0,0
Prom2|Prom2,0,0,0,0,0,42,0,16,0,25,0,0,0,0,0
Zfp661|Zfp661,471,505,368,420,909,593,0,774,556,437,900,789,850,656,16
