	FT01DA	FT02DA	FT04DA	FT01nDA	FT02nDA	FT04nDA
Slc39a10|Slc39a10	7679.29350223535	11889.7517008527	9547.50309388161	4387.38611362364	5605.48138831794	6981.17667916161
Nab1|Nab1	307.548329881105	514.371864907434	622.792187735081	929.795425334884	1147.0711266114	894.420449222555
Mfsd6|Mfsd6	12185.0334474067	15963.9452190581	13017.3452826913	7314.45187018133	8563.52624926277	7586.91656763947
Asnsd1|Asnsd1	1440.45595321865	1295.79613026553	787.881545436285	417.627757677564	624.849513150152	605.739888477857
Gm32311|Gm32311	335.008002191918	280.207691113257	454.737152949424	189.997683163199	148.946686274164	122.322271501991
Sf3b1|Sf3b1	19901.2013667452	19067.2782863641	17775.2798851817	24508.783264849	32802.7830173797	24647.4484185651
Gm6644|Gm6644	35.3052929710452	17.1018778613725	85.0160764209793	294.634088383512	385.081676708815	200.608525263265
Spats2l|Spats2l	2298.76685344806	2916.52793989714	2001.83203200562	1314.38010767972	1293.29317838055	1293.68034340505
Clk1|Clk1	7811.09992932725	6555.2813371707	8146.71495099175	16704.1924438989	30584.0223187956	19765.3219183776
Gm15834|Gm15834	3184.53742598828	4022.88788462131	3558.81250134332	1812.77982728173	1674.74200908268	1263.34442007256
Stradb|Stradb	866.941082955667	451.226469726982	834.343819759379	1505.2956540466	1463.12872919316	1343.58783017786
Gm39648|Gm39648	0	0	0	468.110233880346	417.777290768997	417.8528794508
Bmpr2|Bmpr2	8016.65519062534	13856.4676549105	8232.71958644088	3404.35462247491	5458.35112504712	5809.81860725855
Zdbf2|Zdbf2	3332.03509440065	4049.1984659465	3649.75993193321	1536.50300297196	1559.39914837037	1585.2966386658
1700039I01Rik|1700039I01Rik	0	0	0	64.2504242580867	9.08211501671733	19.5715634403185
Eef1b2|Eef1b2	4024.80339869916	1969.34701219035	3276.08461929216	1470.4168523065	1881.81423146383	1549.08924630121
Adam23|Adam23	11808.4436557156	11721.3639803714	9894.48731276258	6024.85406900116	6337.49985866535	7459.7014052774
Spag16|Spag16	509.965342915098	1227.38861882004	76.119045167621	121.157942886678	79.9226121471125	87.0934573094173
Erbb4|Erbb4	9111.11927272774	12561.9870537112	11673.8935634342	4009.22647370461	3544.74949102477	4386.96594514739
Vwc2l|Vwc2l	2049.27611645267	1727.28966399862	4480.14951557998	1198.72934401516	1013.56403586565	1050.01437857309
Atic|Atic	1360.43062248428	1551.00876911986	939.131076743376	430.477842529181	472.269980869301	491.246242351994
D230017M19Rik|D230017M19Rik	159.266099402715	148.654784487315	229.345694531014	365.309555067407	387.80631121383	433.510130203055
Arpc2|Arpc2	5244.01284929925	4162.33396564481	5121.72432484993	3251.07146745919	2562.97285771763	3122.64294690282
Aamp|Aamp	3528.17561090645	3608.49622874959	4186.54748421916	2861.89746909592	2729.17556252356	2625.52523551873
Gpbar1|Gpbar1	0	0	0	53.2360658138433	12.7149610234043	42.0788613966848
Tmbim1|Tmbim1	615.881221828234	836.676486140992	1583.67156309778	7623.77176982383	7084.95792454119	8287.57853880287
Cyp27a1|Cyp27a1	499.766036056796	0	248.128316065882	3732.94964939484	3732.74927187082	3160.80749561144
Ccdc108|Ccdc108	0	0	5.93135416890553	334.102206142051	169.835550812614	281.830513540586
Zfand2b|Zfand2b	7006.92381165345	2196.93354065323	3441.17397699336	1528.24223413878	1345.96944547751	1255.51579469643
Abcb6|Abcb6	5546.85380678422	6694.7274181942	4842.95067891137	2786.63268639359	2335.01177079803	3307.59422141383
Dnajb2|Dnajb2	1690.73125228006	1579.95040857757	1887.15918474011	3550.29487186114	2319.57217526961	3897.67685913943
Tuba4a|Tuba4a	4223.29760140303	3148.0610555588	4385.24784887749	1474.08830512125	1521.25426530015	1469.82441436792
Dnpep|Dnpep	3350.86458398521	3475.62779305739	3440.18541796521	2144.12844381272	1669.29274007265	1976.72790747217
Pax3|Pax3	0	0	0	68.8397402765215	25.4299220468085	30.3359233324937
Epha4|Epha4	11834.3342038944	19730.3049357588	17978.9230449808	6851.84881552311	9024.89769211201	8963.77605566587
Sgpp2|Sgpp2	7416.46521011757	11923.9554565754	6607.52854416077	3947.72963905759	4070.60395049271	4135.4713549393
Scg2|Scg2	106419.567759523	139054.053361753	145452.621166014	43707.727896369	50188.6757938816	52506.5903976865
Dock10|Dock10	1537.74164940553	286.785336444554	844.229410040888	6154.27278072102	6511.87646698633	5762.84685500178
Nyap2|Nyap2	2013.1862614156	4638.55548763072	3239.50793525057	1755.87230865314	1029.00363139407	1278.0230926528
