	FT01DA	FT02DA	FT04DA	MN01DA	MN02DA	MN03DA	CRV01DA	CRV02DA	CRV03DA	CRV04DA
Gm44502|Gm44502	3.0277991327844	34.5126570997489	0	382.426812669587	595.504363788921	21.2197494322107	439.520164250007	1082.53786415202	289.908734495271	249.173989843369
A330009N23Rik|A330009N23Rik	0	0	0	0	46.4029374380977	0	28.7895304093891	97.1204648363961	355.196492397691	30.7622209683171
Gm16861|Gm16861	0	0	1.87533710298116	42.8975183662782	29.6463211410069	18.0367870173791	29.7491814230354	37.1110719293546	59.847111410552	15.3811104841586
Eef2kmt|Eef2kmt	0	0	0	0	216.547041377789	283.283654920013	7.67720810917043	63.1677820074121	352.864786758319	29.7368136027066
Sdf2l1|Sdf2l1	7465.03876187993	8210.17765006248	7302.56267900864	5631.44017701993	3098.68504447741	4440.23256869009	5004.58003616548	4019.05013022159	4441.12200779083	4086.24835195813
Lrrc74b|Lrrc74b	0	0	0	0	0	92.3059100301165	157.382766237994	148.444287717418	0	0
Tfrc|Tfrc	5425.05909616644	3926.77343001587	3917.57920812764	5489.96963772688	5614.75543000982	6444.43790256239	13473.5002315941	9503.59280301515	6433.9530942409	11877.2935158672
Dopey2|Dopey2	1184.6264107019	915.22453642297	1110.19956496485	1479.50802705823	1148.47270159292	1288.03879053519	2107.39362596728	2037.16096973904	1962.51891313823	1662.18533965474
Gm41523|Gm41523	0	0	0	108.61286565079	0	0	72.9334770371191	78.9597275092651	38.8617606562026	0
Mas1|Mas1	0	0	0	523.897351962632	0	522.005836032383	40.3053425731448	302.415756360485	241.72015128158	0
Tbl3|Tbl3	1851.49916969766	1755.03252585019	1395.25080461798	2377.61777327989	2233.78584945065	2225.9517154389	2888.54955107538	2389.32135443036	2658.92166409738	4024.72391002149
Tead3|Tead3	0	0	0	0	0	0	186.172296647383	23.6879182527795	116.585281968608	44.0925167212546
Cdkn1a|Cdkn1a	1323.14822102678	447.386295737485	1004.24301864641	814.140135802557	801.739641291577	799.984553594343	208.244269961248	325.314077338172	267.368913314674	100.489921829836
Hsf2bp|Hsf2bp	0	0	0	515.682933552068	0	0	0	277.14864355752	60.624346623676	0
Zfp811|Zfp811	217.244587777281	144.441861195245	195.972727261531	533.024483529925	759.203615306654	968.681561580418	469.269345673043	486.391921457073	636.555639548598	735.217081142779
H2-K1|H2-K1	6551.40037356224	3765.71436355038	2221.33679848118	1821.77546083173	957.705069902961	841.363064987154	1231.23225050821	1322.57543578019	1601.10453903555	817.249670391625
H2-DMa|H2-DMa	2183.80012452075	2100.15909684768	1824.70300120067	1270.49671416722	1459.11458833129	1138.4395570381	720.697911248374	1442.59422159427	928.018844470117	724.963007486674
Nfkbie|Nfkbie	0	0	0	0	0	19.0977744889896	152.584511169762	101.858048486952	122.025928460476	162.01436376647
Ebi3|Ebi3	0	0	0	9.12713156729323	0	153.843183383528	140.10904799236	167.394622319642	38.8617606562026	182.522511078682
Crb3|Crb3	0	0	19.6910395813022	59.326355187406	287.440418019327	91.244922558506	228.39694124782	238.458377077981	264.259972462177	387.603984200796
Hnrnpll|Hnrnpll	1349.64146343865	1119.74398590296	904.85015218841	655.328046531654	707.64479593099	567.628297311636	2835.76874532483	2125.59586454942	1596.4411277568	2529.67997096128
4930543D07Rik|4930543D07Rik	0	0	0	0	149.520576189426	0	0	97.1204648363961	8.54958734436456	13.3302957529374
Ttr|Ttr	0	0	0	0	0	154.904170855138	33.5877854776206	81.328519334543	130.575515804841	94.3374776361725
BC051408|BC051408	0	0	0	0	91.5169043918038	259.941930544581	169.858229415396	0	0	0
Apbb3|Apbb3	1550.99010576881	1898.19614048619	1561.21813823182	1197.47966162887	1352.13003812679	1329.417301928	4614.96172462508	2769.11764374993	2983.02874797011	4243.13567889654
Dnd1|Dnd1	0	0	0	0	73.4713176103214	0	29.7491814230354	71.0637547583386	231.616093510967	101.515329195447
Tex43|Tex43	0	0	0	0	0	94.4278849733376	0	22.8983209776869	27.9804676724658	127.150513335711
Gm41795|Gm41795	0	0	0	126.867128785376	33.5132325941817	40.3175239212003	40.3053425731448	12.6335564014824	27.9804676724658	7.177851559274
Ptgdr2|Ptgdr2	205.890341029339	148.276600872995	0	0	211.391159440223	0	0	0	0	0
LOC108168412|LOC108168412	657.78936159741	1425.2449135637	832.649673723635	692.749285957557	708.933766415382	933.668975017271	334.91820376256	188.713748747144	156.224277837934	314.800061242445
Gm30990|Gm30990	0	0	0	128.692555098835	0	0	14.3947652046946	172.921803245291	20.9853507543494	0
Ablim1|Ablim1	1567.64300099912	1453.3663378672	2516.70239220072	6702.96542302015	4671.22903543517	4901.76211884067	3152.45357982811	3636.09545180166	4138.00027467245	3137.74653876835
LOC108168424|LOC108168424	0	0	9.3766855149058	175.24092609203	453.717610505844	61.537273353411	530.687010546406	141.337912241585	142.234044001701	325.054134898551
Gm33534|Gm33534	0	0	0	0	0	91.244922558506	132.43183988319	0	0	73.8293303239611
Rnd3|Rnd3	167.285902086338	314.44865357549	247.544497593513	408.895494214737	607.105098148445	1490.6873976128	1061.37402109281	784.859691442095	779.566918763423	795.716115713803
Ppp1r1c|Ppp1r1c	0	0	0	0	0	98.6718348597797	87.3282422418137	41.8486555799105	11.6585281968608	53.3211830117497
Slc43a3|Slc43a3	0	0	0	0	127.608077954769	362.857715290803	0	0	0	67.6768861302977
Actc1|Actc1	0	0	0	0	0	115.647634405548	48.9422016959615	23.6879182527795	0	0
LOC108168839|LOC108168839	217.244587777281	127.824655924996	232.541800769664	172.502786621842	163.699251517734	161.270095684801	694.787333879924	445.332863152255	457.014305316942	518.856126998949
1810024B03Rik|1810024B03Rik	0	0	0	21.9051157615038	20.6235277502656	35.0125865631477	144.907303060592	4.73758365055591	10.1040577706127	23.5843694090431
Oxt|Oxt	0	0	0	0	79.9161700322794	228.112306396265	103.642309473801	0	0	0
Gm33648|Gm33648	0	0	0	0	271.972772206628	22.2807369038212	0	234.510390702517	0	0
Cfap61|Cfap61	0	0	0	82.1441841056391	0	0	22.071973313865	44.2174474051885	13.9902338362329	6.15244419366343
Rprd1b|Rprd1b	473.093614497562	627.619060591729	671.370682867255	1238.55175368169	2320.14687190489	1601.0300946603	1170.77423664849	1482.863682624	1502.39566696879	1461.20549599506
Npepl1|Npepl1	0	0	10.3143540663964	0	87.649992938629	73.2081355411269	646.804783197609	268.463073531501	138.347867936081	312.749246511224
Fgf2|Fgf2	0	0	0	81.2314709489098	0	0	0	0	37.3072902299545	54.3465903773603
Ctso|Ctso	2301.88429069934	2017.07307049643	2201.64575889988	2375.79234696643	1575.12193192654	1449.30888621999	1212.03923023528	1208.08383089176	1145.64470414485	921.841221683903
Gm30352|Gm30352	0	0	0	339.529294303308	0	0	98.8440544055693	101.068451211859	0	0
Ash1l|Ash1l	14789.2848640854	17973.4248696137	15897.2326219713	16006.2506295621	18000.4728145287	16711.6136653375	8128.2440855842	10498.4853696319	12425.6593522142	10903.1565185372
Rorc|Rorc	0	0	0	0	30.9352916253985	4.24394988644214	130.512537855897	105.806034862415	141.456808788577	60.4990345710237
Snx27|Snx27	3489.53850053402	2635.74440517341	3613.7745974447	4674.91678876759	4256.18053946107	4245.01087391375	7296.22665675285	4378.31689038875	5765.53081095421	5256.23815611979
Setdb1|Setdb1	483.690911462307	368.135009063988	635.739277910614	736.559517480564	1014.41977121619	473.200412338299	1284.01305625876	1536.5562973303	1576.23301221558	2674.26240951237
Hist2h4|Hist2h4	492.774308860661	636.566786506479	224.102783806249	480.087120439624	268.105860753453	134.745408894538	55.6597587914856	75.8013384088945	109.590165050491	139.455401723038
LOC108168896|LOC108168896	0	0	0	0	0	0	152.584511169762	70.2741574832459	13.2129986231089	129.201328066932
Gm35408|Gm35408	0	0	0	531.199057216466	0	0	77.7317321053506	0	0	81.0071818832351
LOC108168900|LOC108168900	0	0	0	25.5559683884211	109.562491173286	164.453058099633	45.1035976413763	204.505694248997	111.144635476739	0
Gm40150|Gm40150	0	0	0	0	0	264.185880431023	163.140672319872	3.1583891003706	90.936519935514	25.6351841402643
