	FT01DA	FT02DA	FT04DA	MN01DA	MN02DA	MN03DA	CRV01DA	CRV02DA	CRV03DA	CRV04DA
Gpr83|Gpr83	2384.39181706771	4029.03315475587	3367.16776840267	6315.06233141019	4619.67021605951	7696.40311906282	4118.82215056994	4210.92226806911	4947.10213153459	3197.22016597376
Zfp317|Zfp317	2206.50861801663	985.528097181718	1576.22083505567	5076.5105777285	2789.33212822343	3552.18605495207	2416.40125236139	2918.35152874244	2192.58053622295	3064.94261581
Gm36198|Gm36198	311.863310676793	965.076152233718	458.519921678894	15.5161236643985	92.8058748761954	162.331083156412	162.181021306225	408.2217912229	438.360660201965	238.919916187263
Plppr2|Plppr2	6041.97316947126	6945.99180296427	7557.60852501408	3033.85853296827	2681.05860753453	2881.64197289421	7638.82206862458	5920.4003686447	10882.0702189498	3682.23784990756
Acad8|Acad8	760.73453211208	439.716816381986	669.495345764274	899.022459378384	1941.18954949375	2305.52577580969	1615.09265596673	1643.15192946781	1126.21382381675	1598.61008298688
Oaf|Oaf	0	0	0	273.813947018797	0	0	15.3544162183409	41.0590583048178	60.624346623676	41.0162946244228
Ccdc153|Ccdc153	0	0	0	0	101.828668266937	0	92.1264973100452	0	21.7625859674734	20.5081473122114
Abcg4|Abcg4	7341.65594721897	4027.75490819662	8364.94114784747	3048.46194347594	1631.83663323977	2291.73293867876	6021.81011063056	9785.47903022322	6514.00832119267	4423.607375244
Hyou1|Hyou1	3994.42400592582	11730.4686742369	6242.05954727279	1986.97654219974	1519.6962010977	380.894502308182	3639.95629476043	6852.12515325402	5568.1130668207	2123.61865417949
Dlat|Dlat	6287.2248992268	4683.49539309185	6891.86385345577	3782.28332148632	3486.66516027929	3197.81623943415	5637.94970517204	6457.3265157077	6104.4053638763	6805.62868555736
Ppp2r1b|Ppp2r1b	432.218326204973	228.806134105743	450.080904715479	1652.9235268368	1095.62491173286	796.801591179512	1137.18645117087	620.623458222824	587.589821121783	834.681595607005
Npat|Npat	1921.1385497517	650.627498658229	1583.72218346759	4982.50112258538	4623.53712751268	2612.15115510514	3636.11769070585	1969.25560408107	1999.82620336818	3543.80785555013
2700012I20Rik|2700012I20Rik	110.514668346631	53.6863554884982	354.438712463439	0	0	0	309.00762639411	240.037571628166	201.303920199129	62.5498493022448
Scamp5|Scamp5	22289.1433159923	29115.9001265955	28719.850063605	10100.0837923667	10672.6756107625	9771.69461353303	23370.3811353284	37310.840039953	26996.4878926508	16432.1530339094
Ulk3|Ulk3	3319.2247993149	1069.89237009221	658.243323146387	204.447747107368	572.302895069872	274.795755147129	1503.77313838376	903.299282705993	1169.7389957517	2272.30272219303
Sema7a|Sema7a	704.720248155568	3170.0514669399	1032.37307519113	720.130680659436	269.394831237845	439.248813246761	1397.25187586902	1429.96066519279	2149.83259950113	1078.72854862232
Islr2|Islr2	0	850.033961901222	326.308655918722	22.8178289182331	0	0	450.076325400117	94.7516730111181	470.227303940051	678.819676034198
Stra6|Stra6	0	0	0	0	110.851461657678	0	178.495088538213	390.06105389577	108.812929837367	0
Cln6|Cln6	604.045926990487	1606.7559249772	777.327229185691	209.924026047744	139.208812314293	134.745408894538	981.722986960169	1424.43348426714	1188.39264086667	355.816355866868
Pias1|Pias1	1717.51905807195	2877.33300487166	2477.32031303811	5554.77227185466	5295.0907498807	5771.77184556131	3796.37940998478	4487.28131435154	2926.29057741205	3023.92632118557
Gm39358|Gm39358	173.341500351907	484.455445955734	117.208568936323	0	0	0	95.0054503509841	39.4798637546325	30.312173311838	4.10162946244228
Smad3|Smad3	1008.2571112172	0	164.091996510852	0	0	0	310.926928421403	39.4798637546325	109.590165050491	56.3974051085814
Map2k1|Map2k1	3613.67826497818	2369.86912084942	2954.59360574682	1404.66554820643	913.880073433646	1125.70770737878	1221.63574037175	2184.81566018136	2863.33452514901	1538.11104841586
Nedd4|Nedd4	6343.23918318331	5363.52256261282	8824.39873807785	11465.5026748338	9824.5330320328	13214.5989589092	6365.36517351594	7498.80532155491	8241.80219996744	6369.83055517287
Gm7265|Gm7265	1478.32292658198	1567.13028164045	1979.41831219662	3661.80518479805	2777.7313938639	4021.14251740393	2101.63571988541	1941.61969945283	2125.73830789428	2826.02269962273
Rab27a|Rab27a	905.311940702535	292.71846206824	581.35450192416	1937.69003173635	1272.21386809451	1311.38051491062	425.125399045313	488.760713282351	597.693878892395	497.322572321127
4930429F24Rik|4930429F24Rik	0	181.511011413494	0	0	0	0	0	13.4231536765751	80.8324621649013	31.7876283339277
Mei4|Mei4	0	193.015230446744	0	0	0	0	163.140672319872	0	45.856877574319	0
Gm39386|Gm39386	0	0	0	0	0	136.867383837759	95.9651013646304	0	0	25.6351841402643
