	x	y	pval	padj
Lamb3|Lamb3	DA	nDA	0.000543532853926238	0.00488755978532605
Iyd|Iyd	DA	nDA	2.95096058846419e-05	0.000419002001171636
Myct1|Myct1	DA	nDA	0.00112204103712325	0.00885374366766439
Zc3h12d|Zc3h12d	DA	nDA	0.00513671801203751	0.0298013588314585
Stx11|Stx11	DA	nDA	0.00500442686993096	0.0293112610925718
Il20ra|Il20ra	DA	nDA	0.00507282592278354	0.0295775432726552
Platr6|Platr6	DA	nDA	0.000862710542971141	0.00712898727235444
LOC108167355|LOC108167355	DA	nDA	1.04764116429354e-07	3.00620906345644e-06
Cenpw|Cenpw	DA	nDA	0.000470751071700926	0.00431089212401813
LOC108167804|LOC108167804	DA	nDA	6.45942990688671e-05	0.000811519093688695
Ak9|Ak9	DA	nDA	0.000683902062200306	0.00590515356818326
Nr2e1|Nr2e1	DA	nDA	5.75591474341949e-07	1.35248573333318e-05
Prdm1|Prdm1	DA	nDA	7.28322447922669e-07	1.65977266380547e-05
LOC105245152|LOC105245152	DA	nDA	0.00272271098117991	0.0179680893559324
Lilr4b|Lilr4b	DA	nDA	2.06352778607831e-05	0.000309007647911166
Gm40645|Gm40645	DA	nDA	1.0452199700548e-10	6.36509927875318e-09
LOC108167810|LOC108167810	DA	nDA	2.22616649747997e-06	4.42468251353158e-05
Unc5b|Unc5b	DA	nDA	2.12149307376418e-06	4.25132474004863e-05
Adamts14|Adamts14	DA	nDA	0.000939377365200359	0.00766144716416945
Prf1|Prf1	DA	nDA	0.000573760840048552	0.00510700726609192
Pbld1|Pbld1	DA	nDA	0.00304794570667784	0.0197692644164196
Gm34776|Gm34776	DA	nDA	3.6913068692177e-24	1.75922870638825e-21
A330049N07Rik|A330049N07Rik	DA	nDA	3.91327467894574e-13	4.04673211257205e-11
Adora2a|Adora2a	DA	nDA	3.37780084212966e-10	1.7843741653496e-08
Gm5134|Gm5134	DA	nDA	0.000152296088721545	0.0016688797219221
Misp|Misp	DA	nDA	0.000687769926380442	0.00592920963273238
S1pr4|S1pr4	DA	nDA	7.61417135543218e-05	0.000929429168291424
Gm6729|Gm6729	DA	nDA	0.000718864392702423	0.00614651485226803
Gm32749|Gm32749	DA	nDA	0.00129794333780552	0.00995138852076563
Lum|Lum	DA	nDA	0.00106160877124495	0.00847238772916021
Gm34574|Gm34574	DA	nDA	0.000399983913014415	0.00375861436991643
E2f7|E2f7	DA	nDA	0.0094197837534266	0.0475938970330425
Lyz1|Lyz1	DA	nDA	0.00528937974629141	0.0304994929452779
Irak3|Irak3	DA	nDA	1.71198893768055e-08	6.11555115603122e-07
Gm38500|Gm38500	DA	nDA	0.000299632741454464	0.00293252169236885
Gdf11|Gdf11	DA	nDA	0.000930513298003645	0.00760046312672649
Osm|Osm	DA	nDA	0.00113723909625157	0.00895534939192639
Npc1l1|Npc1l1	DA	nDA	0.000311547549351772	0.00303423230761391
Myo1g|Myo1g	DA	nDA	4.04622755055623e-07	9.86712420365341e-06
Gm29945|Gm29945	DA	nDA	0.00735196491325275	0.0393787263115661
Gm39608|Gm39608	DA	nDA	0.00548978409632543	0.0314851845213071
Efemp1|Efemp1	DA	nDA	2.53446727126048e-21	9.57984930824887e-19
LOC108167893|LOC108167893	DA	nDA	0.00611541408520598	0.0343764674333258
Gm5431|Gm5431	DA	nDA	0.000371685877146432	0.00353512775908079
Tgtp2|Tgtp2	DA	nDA	4.92862220649507e-09	1.99723076955622e-07
Ccdc69|Ccdc69	DA	nDA	0.000152211394257725	0.0016688797219221
Slc36a2|Slc36a2	DA	nDA	1.82277012060223e-14	2.51324461345677e-12
Gm39826|Gm39826	DA	nDA	0.00910281806780957	0.0464419549687199
Wnt9a|Wnt9a	DA	nDA	2.94004305836755e-08	9.85543791568682e-07
Nlrp3|Nlrp3	DA	nDA	0.000851134182945224	0.00704660675706501
Slc5a10|Slc5a10	DA	nDA	0.00611242031185971	0.0343684510122853
Usp43|Usp43	DA	nDA	6.379393790595e-05	0.000802383534545119
Kctd11|Kctd11	DA	nDA	1.99940435052878e-11	1.42778311324568e-09
2810408A11Rik|2810408A11Rik	DA	nDA	0.00025224796356351	0.0025495768119884
Asgr1|Asgr1	DA	nDA	5.02270088196377e-05	0.000658174963749503
Mgl2|Mgl2	DA	nDA	1.71278949496108e-08	6.11555115603122e-07
Clec10a|Clec10a	DA	nDA	2.73978357088072e-06	5.3248470943633e-05
Nlrp1b|Nlrp1b	DA	nDA	3.47642565105542e-07	8.6214569624534e-06
Nlrp1c-ps|Nlrp1c-ps	DA	nDA	2.34754016729184e-05	0.000345403510654625
Smtnl2|Smtnl2	DA	nDA	2.39715528368755e-08	8.17146936504143e-07
P2rx1|P2rx1	DA	nDA	0.000505924292831221	0.00459080226479257
Dbil5|Dbil5	DA	nDA	8.2917371679603e-05	0.000999172226298168
Gm30875|Gm30875	DA	nDA	1.55821239435441e-07	4.27543057840197e-06
Ccl2|Ccl2	DA	nDA	1.93738376592801e-08	6.76325864656683e-07
Ccl7|Ccl7	DA	nDA	1.06506077673777e-05	0.000173730114645998
Ccl12|Ccl12	DA	nDA	0.00819854323381886	0.0427740750392696
Tbx2|Tbx2	DA	nDA	2.49104832881394e-06	4.88472741615277e-05
Pctp|Pctp	DA	nDA	8.42059224255625e-07	1.88757304431044e-05
Tmem100|Tmem100	DA	nDA	0.000517478494939114	0.00468788472915298
Col1a1|Col1a1	DA	nDA	0.000645985401099043	0.00561758744478156
Sgca|Sgca	DA	nDA	0.00320104437192167	0.0205675544447945
Hoxb5|Hoxb5	DA	nDA	0.0012923957714668	0.00993101734940996
Gm38970|Gm38970	DA	nDA	0.000965417875711283	0.00783593339104719
Cdc6|Cdc6	DA	nDA	0.000344930937511945	0.00330792692172982
Krt12|Krt12	DA	nDA	0.00212912026232051	0.0148039021601182
LOC101056001|LOC101056001	DA	nDA	1.31154181776554e-16	2.61390284280672e-14
Gm33851|Gm33851	DA	nDA	0.000197661546067548	0.00207947040733421
Wnt9b|Wnt9b	DA	nDA	7.23302617415404e-08	2.17815429692279e-06
Gm39422|Gm39422	DA	nDA	0.000642771091058042	0.00559709443300986
LOC108167934|LOC108167934	DA	nDA	4.79107094782684e-13	4.86271520320407e-11
Abca8a|Abca8a	DA	nDA	0.00846803544594694	0.043908406121451
BC006965|BC006965	DA	nDA	0.00021945906040571	0.00226196567055683
4932435O22Rik|4932435O22Rik	DA	nDA	0.0014538601799477	0.0109079318018458
Gm31399|Gm31399	DA	nDA	0.00747097389128391	0.0398603457334186
Llgl2|Llgl2	DA	nDA	7.08559811556609e-06	0.000122706514163325
Galr2|Galr2	DA	nDA	6.79208972661227e-05	0.000847966874012077
Rhbdf2|Rhbdf2	DA	nDA	4.18407584429763e-08	1.35691560258191e-06
LOC108167873|LOC108167873	DA	nDA	1.47939650308868e-05	0.000232493258331277
Gm34502|Gm34502	DA	nDA	0.00138541692575786	0.01048050216128
Socs3|Socs3	DA	nDA	2.25716076053796e-07	5.89794223519352e-06
Pde6g|Pde6g	DA	nDA	0.00363335849494162	0.0227064191233196
Cbr2|Cbr2	DA	nDA	0.000386423286741138	0.00365178777322357
Gm32773|Gm32773	DA	nDA	0.00459912313991892	0.0274432707121509
5033421B08Rik|5033421B08Rik	DA	nDA	1.24722529916004e-07	3.49653711425647e-06
2410004P03Rik|2410004P03Rik	DA	nDA	0.000253516875823941	0.00256122141414206
LOC108167986|LOC108167986	DA	nDA	7.90222508887318e-08	2.35061710479467e-06
