	x	y	pval	padj
Insm1|Insm12	Maintenance	Craving	1.55955568366066e-05	0.000698330232800875
Nkx2-2|Nkx2-22	Maintenance	Craving	0.000202148537057832	0.0063165511988505
Zfp120|Zfp1202	Maintenance	Craving	0.000199412101818102	0.00624146540088531
Rspo4|Rspo42	Maintenance	Craving	1.22810265746468e-09	1.58526878894941e-07
Tpx2|Tpx22	Maintenance	Craving	3.89589685622196e-11	8.28630698385301e-09
Kif3b|Kif3b2	Maintenance	Craving	0.000981473999973964	0.0222939913319329
LOC108168806|LOC1081688062	Maintenance	Craving	1.28046280903536e-07	8.77890930282596e-06
Ggt7|Ggt72	Maintenance	Craving	2.06189377484904e-06	0.000112514477503934
Trp53inp2|Trp53inp22	Maintenance	Craving	8.49005412732905e-21	1.98635428876522e-17
Trpc4ap|Trpc4ap2	Maintenance	Craving	8.22722674550393e-05	0.00300173495118123
Phf20|Phf202	Maintenance	Craving	1.56290083027219e-06	8.86448934551652e-05
Src|Src2	Maintenance	Craving	0.000192113193770654	0.00608423459865537
Gm34402|Gm344022	Maintenance	Craving	3.56479798133147e-11	7.75840974611408e-09
Slc32a1|Slc32a12	Maintenance	Craving	0.000467967927700918	0.0123676602661742
Top1|Top12	Maintenance	Craving	0.000241258706194913	0.00733058312313343
Chd6|Chd62	Maintenance	Craving	9.7006919504685e-05	0.00345186028967526
Neurl2|Neurl22	Maintenance	Craving	0.000109438871987715	0.0038503145996129
Slc12a5|Slc12a52	Maintenance	Craving	0.000293352306466562	0.0086147513807093
Gm36803|Gm368032	Maintenance	Craving	4.46705901279828e-12	1.16124921586869e-09
Elmo2|Elmo22	Maintenance	Craving	9.61535847160047e-09	8.77905680550956e-07
Eya2|Eya22	Maintenance	Craving	1.59007737339979e-09	1.97095882105456e-07
B4galt5|B4galt52	Maintenance	Craving	0.000307649197883638	0.00889995368900781
Mocs3|Mocs32	Maintenance	Craving	3.24050769075748e-06	0.000168948697626484
Gm38422|Gm384222	Maintenance	Craving	0.000167472777653819	0.00546657959343141
Gm16796|Gm167962	Maintenance	Craving	0.00200285339916147	0.0386070103729199
4921531C22Rik|4921531C22Rik2	Maintenance	Craving	0.000627968322037185	0.0156693342645669
